자아, 154, 64
타가, 151, 64
아차, 180, 78
나차, 190, 62
카나, 158, 73
파카, 154, 50
가사, 178, 86
사바, 189, 95
아하, 150, 74
바사, 197, 77
바나, 186, 78
마가, 157, 70
하나, 158, 67
아바, 182, 87
아가, 161, 86
나다, 158, 99
카가, 188, 89
타마, 174, 93
아아, 192, 68
파가, 178, 77
아사, 176, 96
자차, 161, 52
아자, 150, 76
가타, 176, 84
파사, 186, 97
하바, 182, 85
라파, 182, 76
나차, 195, 58
가파, 182, 67
아하, 183, 62
하하, 198, 67
카카, 199, 87
카차, 187, 78
사하, 195, 92
나타, 168, 56
마하, 163, 70
라파, 173, 89
다가, 185, 96
파가, 178, 76
나차, 169, 80
라하, 158, 90
마라, 171, 82
하가, 177, 74
다하, 199, 74
마차, 184, 61
아다, 150, 96
차가, 181, 82
다바, 182, 58
아라, 161, 67
마가, 171, 68
카아, 176, 69
하타, 173, 70
바차, 164, 68
가바, 196, 71
차마, 192, 70
라파, 175, 93
아바, 150, 50
카바, 167, 95
다바, 168, 97
가차, 189, 63
차자, 197, 93
아아, 196, 84
사차, 188, 84
아사, 180, 85
나카, 180, 73
사마, 197, 64
타가, 151, 64
자하, 152, 90
나타, 183, 70
아자, 192, 92
라가, 158, 65
나마, 180, 71
차마, 178, 84
파마, 169, 66
나차, 193, 81
사바, 150, 87
차파, 167, 65
마아, 193, 75
가차, 163, 63
타가, 182, 85
카하, 159, 56
자가, 198, 96
자카, 155, 74
나카, 157, 64
다타, 190, 58
카바, 195, 89
라나, 173, 58
나하, 187, 66
라카, 194, 77
자나, 158, 70
라라, 189, 89
가자, 158, 79
타라, 178, 58
바바, 163, 60
아하, 196, 51
다카, 176, 57
카하, 186, 78
아가, 190, 72
하카, 197, 52
차아, 162, 86
사파, 187, 67
사다, 173, 59
바다, 161, 63
가나, 188, 98
가사, 191, 59
파라, 186, 65
파바, 182, 70
차바, 167, 94
카마, 199, 54
사파, 184, 53
사하, 153, 73
마가, 199, 87
자나, 159, 61
차타, 159, 85
가다, 176, 52
사사, 175, 64
아차, 150, 77
카사, 197, 71
라라, 179, 70
바카, 159, 96
차나, 164, 54
라차, 199, 70
자가, 175, 55
가바, 174, 98
마라, 189, 92
파가, 154, 54
사바, 181, 72
나아, 187, 67
마가, 191, 78
마카, 164, 55
가타, 164, 87
바가, 161, 83
가바, 154, 99
사타, 193, 80
라파, 156, 96
아나, 190, 99
아라, 152, 67
라마, 153, 57
타바, 160, 95
바카, 193, 60
하다, 180, 92
바차, 162, 75
사파, 152, 90
사아, 159, 77
사마, 172, 78
타가, 171, 97
파마, 168, 94
타차, 190, 83
차아, 177, 63
카타, 173, 72
카자, 151, 90
파가, 153, 60
하아, 189, 82
바다, 197, 99
파가, 161, 55
가가, 177, 93
사타, 153, 54
자자, 152, 51
타차, 151, 58
사하, 199, 54
나라, 184, 85
차하, 165, 75
나자, 161, 74
하자, 172, 53
다마, 182, 68
카나, 192, 91
마사, 193, 58
라타, 155, 58
바타, 193, 98
차바, 199, 78
바가, 191, 89
사차, 183, 70
타다, 172, 89
다나, 167, 64
사자, 195, 95
다타, 166, 89
바타, 176, 65
하마, 195, 50
카하, 166, 72
다사, 179, 77
카가, 199, 99
카마, 160, 70
아하, 190, 92
타차, 175, 93
하파, 194, 64
카마, 194, 54
차다, 177, 97
라가, 156, 99
아바, 153, 99
하하, 186, 69
하가, 184, 84
라가, 173, 87
나라, 173, 89
